;Z;Atomic Mass;R (8) Angstrom;R (9);IP2+ (eV);IP3+;Pauli electronegativity;E (GPa);Effective nuclear charge;Density (g/cm3);B (Bulk modulus);G (shear modulus) in GPa; Vol endmembers
La;57;138.90547;1.16;1.216;19.1773;49.95;1.1;139.1;11.00;6.15;109.8;54.0;77.61001594801265000000
Ce;58;140.116;1.143;1.196;20.198;36.758;1.12;146.5;12.00;6.77;118.6;56.6;75.78168414138384375000
Pr;59;140.90765;1.126;1.179;21.624;38.98;1.13;150.1;12.30;6.77;113.5;58.6;74.2007649373347875000
Nd;60;144.242;1.109;1.163;22.1;40.41;1.14;154.1;12.95;7.01;114.1;60.4;72.9817415391438625000
Pm;61;145;1.093;1.144;22.3;41.1;1.13;157.4;13.60;7.26;117.1;61.7;71.90916335898511250000
Sm;62;150.36;1.079;1.132;23.4;41.4;1.17;160.3;14.25;7.52;116.2;63.1;70.88675536819540625000
Eu;63;151.964;1.066;1.12;24.92;42.7;1.2;163.1;14.90;5.24;118.1;64.3;70.0013787098388562500
Gd;64;157.25;1.053;1.107;20.63;44;1.2;165.2;15.90;7.9;121.0;64.9;69.15236746227924375000
Tb;65;158.92535;1.04;1.095;21.91;39.79;1.1;164.5;16.20;8.23;123.3;64.4;68.41325588513072500000
Dy;66;162.5;1.027;1.083;22.8;41.47;1.22;165.4;16.85;8.55;127.6;64.4;67.64549329140997500000
Ho;67;164.93032;1.015;1.072;22.84;42.5;1.23;167.3;17.50;8.8;153.1;63.5; 67.05867559061994375000
Er;68;167.259;1.004;1.062;22.74;42.7;1.24;169.1;18.15;9.07;154.2;64.2;66.33683908859914375000
Tm;69;168.93421;0.994;1.052;23.68;42.7;1.25;170.8;18.80;9.32;156.4;64.8;65.60276254406994375000
Yb;70;173.054;0.985;1.042;25.05;43.56;1.1;172.2;19.45;6.9;156.4;65.4;65.171925272998318750000
Lu;71;174.9668;0.977;1.032;20.9594;45.25;1.27;171.0;20.45;9.84;155.4;64.9;64.45110846580210625000
