;Z;Atomic Mass;R (8) Angstrom;R (9);IP2+ (eV);IP3+;Pauli electronegativity;E (GPa);Effective nuclear charge;Density (g/cm3);B (Bulk modulus);G (shear modulus) in GPa; Vol endmembers
La;57;138.90547;1.16;1.216;19.1773;49.95;1.1;91.70;11.00;6.15;74.42;36.40;83.16086966865202500000
Ce;58;140.116;1.143;1.196;20.198;36.758;1.12;99.73;12.00;6.77;85.61;39.11;81.11579575336811875000
Pr;59;140.90765;1.126;1.179;21.624;38.98;1.13;112.27;12.30;6.77;96.25;43.65;79.31176898877532500000
Nd;60;144.242;1.109;1.163;22.1;40.41;1.14;120.19;12.95;7.01;105.10;46.49;77.89975607349949375000
Pm;61;145;1.093;1.144;22.3;41.1;1.13;127.26;13.60;7.26;113.59;49.00;76.63526873412403125000
Sm;62;150.36;1.079;1.132;23.4;41.4;1.17;137.16;14.25;7.52;118.78;52.92;75.42961528551325625000
Eu;63;151.964;1.066;1.12;24.92;42.7;1.2;143.83;14.90;5.24;124.24;55.45;74.36126731072353750000
Gd;64;157.25;1.053;1.107;20.63;44;1.2;149.42;15.90;7.9;130.31;57.48;73.33463096687147500000
Tb;65;158.92535;1.04;1.095;21.91;39.79;1.1;156.33;16.20;8.23;137.38;60.00;72.43898326800205000000
Dy;66;162.5;1.027;1.083;22.8;41.47;1.22;163.00;16.85;8.55;143.48;62.50;71.49567571838487500000
Ho;67;164.93032;1.015;1.072;22.84;42.5;1.23;169.12;17.50;8.8;148.84;64.81;70.75467386227451875000
Er;68;167.259;1.004;1.062;22.74;42.7;1.24;177.09;18.15;9.07;153.30;67.96;69.85074727872118125000
Tm;69;168.93421;0.994;1.052;23.68;42.7;1.25;183.38;18.80;9.32;159.92;70.27;68.92826150843768125000
Yb;70;173.054;0.985;1.042;25.05;43.56;1.1;188.35;19.45;6.9;162.07;72.29;68.35674617616649375000
Lu;71;174.9668;0.977;1.032;20.9594;45.25;1.27;194.41;20.45;9.84;167.43;74.59;67.43658041999343125000
